lote;margem_unitaria;horas_desmontagem;kg_cobre;kg_plastico;demanda_maxima
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Computadores Desktop;480.0;12;140;90;1
Computadores Desktop;480.0;12;140;90;1
Computadores Desktop;480.0;12;140;90;1
Computadores Desktop;480.0;12;140;90;1
Computadores Desktop;480.0;12;140;90;1
Computadores Desktop;480.0;12;140;90;1
Computadores Desktop;480.0;12;140;90;1
Computadores Desktop;480.0;12;140;90;1
Computadores Desktop;480.0;12;140;90;1
Computadores Desktop;480.0;12;140;90;1
Computadores Desktop;480.0;12;140;90;1
Computadores Desktop;480.0;12;140;90;1
Computadores Desktop;480.0;12;140;90;1
Computadores Desktop;480.0;12;140;90;1
Computadores Desktop;480.0;12;140;90;1
Computadores Desktop;480.0;12;140;90;1
Computadores Desktop;480.0;12;140;90;1
Computadores Desktop;480.0;12;140;90;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Impressoras;410.0;11;95;130;1
Impressoras;410.0;11;95;130;1
Impressoras;410.0;11;95;130;1
Impressoras;410.0;11;95;130;1
Impressoras;410.0;11;95;130;1
Impressoras;410.0;11;95;130;1
Impressoras;410.0;11;95;130;1
Impressoras;410.0;11;95;130;1
Impressoras;410.0;11;95;130;1
Impressoras;410.0;11;95;130;1
Impressoras;410.0;11;95;130;1
Impressoras;410.0;11;95;130;1
Impressoras;410.0;11;95;130;1
Impressoras;410.0;11;95;130;1
Impressoras;410.0;11;95;130;1
Impressoras;410.0;11;95;130;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Computadores Desktop;480.0;12;140;90;1
Computadores Desktop;480.0;12;140;90;1
Computadores Desktop;480.0;12;140;90;1
Computadores Desktop;480.0;12;140;90;1
Computadores Desktop;480.0;12;140;90;1
Computadores Desktop;480.0;12;140;90;1
Computadores Desktop;480.0;12;140;90;1
Computadores Desktop;480.0;12;140;90;1
Computadores Desktop;480.0;12;140;90;1
Computadores Desktop;480.0;12;140;90;1
Computadores Desktop;480.0;12;140;90;1
Computadores Desktop;480.0;12;140;90;1
Computadores Desktop;480.0;12;140;90;1
Computadores Desktop;480.0;12;140;90;1
Computadores Desktop;480.0;12;140;90;1
Computadores Desktop;480.0;12;140;90;1
Computadores Desktop;480.0;12;140;90;1
Computadores Desktop;480.0;12;140;90;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Monitores LCD;360.0;9;70;110;1
Impressoras;410.0;11;95;130;1
Impressoras;410.0;11;95;130;1
Impressoras;410.0;11;95;130;1
Impressoras;410.0;11;95;130;1
Impressoras;410.0;11;95;130;1
Impressoras;410.0;11;95;130;1
Impressoras;410.0;11;95;130;1
Impressoras;410.0;11;95;130;1
Impressoras;410.0;11;95;130;1
Impressoras;410.0;11;95;130;1
Impressoras;410.0;11;95;130;1
Impressoras;410.0;11;95;130;1
Impressoras;410.0;11;95;130;1
Impressoras;410.0;11;95;130;1
Impressoras;410.0;11;95;130;1
Impressoras;410.0;11;95;130;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Notebooks;520.0;10;80;60;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
Roteadores e Modems;180.0;4;18;35;1
